threshold,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,false_negative_rate
0.05,0.6809128630705394,0.9987827145465612,0.8097705403404886,1270112,769,2,1641,0.0006050920581864077,0.0012172854534388314
0.1,0.75,0.9987827145465612,0.8566953797963978,1270334,547,2,1641,0.0004304100856020351,0.0012172854534388314
0.15000000000000002,0.772235294117647,0.9987827145465612,0.8710191082802548,1270397,484,2,1641,0.0003808381744632267,0.0012172854534388314
0.2,0.7862961188308577,0.9987827145465612,0.8798927613941019,1270435,446,2,1641,0.00035093765663346923,0.0012172854534388314
0.25,0.7985401459854015,0.9987827145465612,0.8875067604110329,1270467,414,2,1641,0.000325758273197884,0.0012172854534388314
0.3,0.8052011776251227,0.9987827145465612,0.8916055419722901,1270484,397,2,1641,0.0003123817257477293,0.0012172854534388314
0.35000000000000003,0.8135845314823996,0.9987827145465612,0.8967213114754098,1270505,376,2,1641,0.0002958577553681265,0.0012172854534388314
0.4,0.8213213213213213,0.9987827145465612,0.9014007140895358,1270524,357,2,1641,0.00028090749645324776,0.0012172854534388314
0.45,0.827116935483871,0.9987827145465612,0.9048800661703887,1270538,343,2,1641,0.00026989151620017925,0.0012172854534388314
0.5,0.831728332488596,0.9987827145465612,0.9076327433628318,1270549,332,2,1641,0.00026123610314419683,0.0012172854534388314
0.55,0.8363914373088684,0.9987827145465612,0.9104022191400832,1270560,321,2,1641,0.0002525806900882144,0.0012172854534388314
0.6000000000000001,0.843268242548818,0.9987827145465612,0.9144608526051825,1270576,305,2,1641,0.00023999099837042177,0.0012172854534388314
0.6500000000000001,0.8480620155038759,0.9987827145465612,0.917272219116825,1270587,294,2,1641,0.00023133558531443935,0.0012172854534388314
0.7000000000000001,0.8537220197813639,0.9981740718198417,0.920314253647587,1270600,281,3,1640,0.00022110646079373286,0.0018259281801582471
0.7500000000000001,0.8613445378151261,0.9981740718198417,0.9247251198195658,1270617,264,3,1640,0.0002077299133435782,0.0018259281801582471
0.8,0.8746666666666667,0.9981740718198417,0.9323479249573622,1270646,235,3,1640,0.00018491109710507908,0.0018259281801582471
0.8500000000000001,0.8898534997287032,0.9981740718198417,0.9409064830751578,1270678,203,3,1640,0.00015973171366949384,0.0018259281801582471
0.9000000000000001,0.9070282235749861,0.9975654290931223,0.9501449275362319,1270713,168,4,1639,0.00013219176303682248,0.002434570906877663
0.9500000000000001,0.9414129810453762,0.9975654290931223,0.9686761229314421,1270779,102,4,1639,8.025928470092794e-05,0.002434570906877663
