model_name,training_rows,precision,recall,f1_score,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
xgboost_undersampled,39420,0.831728332488596,0.9987827145465612,0.9076327433628318,0.9998699417989155,0.998590524042695,1270549,332,2,1641
random_forest_balanced,250000,0.9975594874923734,0.9951308581862447,0.9963436928702011,0.9986487694793027,0.9975417832537191,1270877,4,8,1635
catboost_weighted,250000,0.9933211900425015,0.995739500912964,0.9945288753799392,0.99948722867607,0.9971963389546904,1270870,11,7,1636
xgboost_weighted,250000,0.9963459196102314,0.995739500912964,0.9960426179604261,0.9983319087101972,0.9964320109347169,1270875,6,7,1636
logistic_regression_balanced,250000,0.03067987050085698,0.9805234327449787,0.059498088748545785,0.9944081757350737,0.6226295102666264,1219982,50899,32,1611
